student_id,student_name,age,gender,country,university,program_level,field_of_study,year_of_study,tuition_usd,scholarship,online_classes,campus_facilities_rating,teaching_quality_rating,overall_satisfaction
31,Chad Lutz,23,Other,Australia,Cooper-Crawford University,Master,Arts,4,26516,No,No,2,3,Very Satisfied
32,Cynthia Garrett,20,Female,Malaysia,Bernard Group University,Bachelor,Social Sciences,1,7035,Yes,No,5,1,Very Dissatisfied
33,Keith Robinson,22,Female,UAE,Johnson PLC University,PhD,Physics,3,15702,Yes,No,3,2,Neutral
34,Justin Curtis,25,Male,India,Choi PLC University,Bachelor,Computer Science,5,49217,Yes,No,4,3,Very Dissatisfied
35,Christina Hill,35,Male,India,Weber-Wright University,PhD,Medicine,1,16695,No,Yes,4,3,Very Dissatisfied
36,Anthony Morris,19,Other,UAE,Holland-Edwards University,Master,Social Sciences,5,9897,Yes,No,3,5,Neutral
37,Edward Singh,33,Female,Japan,Cox-Sutton University,PhD,Data Science,3,22168,Yes,Yes,1,5,Dissatisfied
38,Gina Smith,28,Female,Germany,"Evans, Abbott and Phillips University",Bachelor,Medicine,2,39671,No,No,4,5,Very Dissatisfied
39,John Parker,24,Other,Turkey,Lindsey LLC University,PhD,Social Sciences,3,6382,No,No,4,1,Very Dissatisfied
40,Timothy Jackson,24,Other,Pakistan,"Smith, Hill and Rivers University",Master,Physics,3,22148,No,Yes,4,1,Very Satisfied
41,Stephanie Obrien,28,Female,Australia,"Jones, Hardin and Calhoun University",Bachelor,Social Sciences,4,29854,Yes,Yes,2,3,Very Dissatisfied
42,Eddie Higgins,27,Female,Turkey,"Peterson, Brown and Brown University",Bachelor,Computer Science,1,19244,No,Yes,3,5,Satisfied
43,Catherine Stewart,18,Other,France,Wiley PLC University,PhD,Social Sciences,2,29654,Yes,No,1,4,Neutral
44,James Green,35,Female,Malaysia,Watson-Johnson University,Bachelor,Law,2,31341,No,Yes,4,5,Dissatisfied
45,Phillip Conner,25,Other,Japan,"Kim, Clark and Brewer University",Master,Arts,3,21703,Yes,Yes,2,2,Neutral
46,Tony Simpson,33,Other,UK,Thompson-Torres University,PhD,Engineering,1,3649,No,No,5,4,Very Dissatisfied
47,Steven Schmidt,29,Female,USA,Johnson PLC University,PhD,Computer Science,4,44231,Yes,No,2,1,Satisfied
48,Elizabeth Hoffman,24,Other,Pakistan,Anderson-Tran University,PhD,Social Sciences,4,23968,No,Yes,5,3,Very Satisfied
49,Zachary Williams,31,Male,Canada,Evans Ltd University,PhD,AI,1,35286,Yes,Yes,3,1,Very Satisfied
50,John Keith,27,Other,Japan,Moore-Phillips University,Master,Arts,4,2170,Yes,No,4,2,Satisfied
51,Walter Randall,29,Male,Pakistan,"Duran, Garrett and Moreno University",Master,Data Science,2,17027,No,No,1,4,Very Satisfied
52,Kyle Daniels,20,Other,Australia,Richards Group University,PhD,Business,4,47520,Yes,Yes,3,2,Neutral
53,Regina Riley,29,Other,China,"Underwood, Walter and Mitchell University",Bachelor,Computer Science,2,34476,Yes,No,3,3,Dissatisfied
54,Jose Hendricks MD,24,Other,UAE,"Williams, Parker and Mann University",Bachelor,Law,4,25786,Yes,No,1,2,Neutral
55,Austin Dunn,30,Female,Germany,Ford Ltd University,PhD,Law,4,14076,Yes,No,5,3,Satisfied
56,Ryan Anderson,17,Female,UK,"Thompson, Ward and Holden University",Bachelor,Data Science,3,6451,No,No,3,5,Very Dissatisfied
57,Scott Johnson,34,Male,Japan,Hawkins PLC University,Bachelor,AI,2,43228,Yes,Yes,4,2,Satisfied
58,Ronald Roman,35,Male,Australia,Hawkins Inc University,Master,Data Science,5,28749,Yes,No,1,2,Dissatisfied
59,Joshua Patterson,31,Male,Germany,Armstrong PLC University,PhD,Law,1,10699,Yes,Yes,5,2,Very Dissatisfied
60,Jordan Bennett,35,Female,India,Ashley Inc University,Master,Social Sciences,2,13503,Yes,Yes,1,2,Very Dissatisfied
61,Dustin Harrison,34,Female,Pakistan,Mckinney Inc University,Master,AI,3,29955,No,Yes,5,1,Neutral
62,Aaron Wiggins,21,Male,USA,Hendricks-Rosales University,Bachelor,Computer Science,5,16044,No,Yes,1,1,Dissatisfied
63,Joanna Peters,35,Female,China,"Harris, Hughes and Moore University",Master,Physics,4,39443,No,No,4,1,Very Dissatisfied
64,Benjamin Adkins,19,Other,India,"Woodward, Hoffman and Sullivan University",Bachelor,Arts,4,16945,Yes,No,4,1,Very Satisfied
65,Allison Pearson,30,Other,Malaysia,"Noble, Espinoza and Lee University",Bachelor,Law,1,30265,Yes,No,5,2,Dissatisfied
66,Lance Wheeler,22,Female,Germany,Davis-Moyer University,Master,Data Science,2,28573,No,Yes,2,5,Satisfied
67,Emily Figueroa,33,Other,UK,"Fitzgerald, Snyder and Cortez University",Bachelor,Engineering,5,49374,No,No,3,2,Very Dissatisfied
68,Brandon Black,18,Other,China,Harper and Sons University,Bachelor,Law,4,15532,Yes,Yes,5,2,Neutral
69,Rachel Pitts,23,Female,Malaysia,"Johnson, Smith and Stewart University",Bachelor,Medicine,5,9418,No,Yes,1,5,Neutral
70,Theresa Ortega,23,Other,India,Hunter Inc University,Bachelor,Data Science,3,39425,No,No,4,3,Neutral
71,Edgar Cruz,24,Male,USA,Jackson LLC University,PhD,Data Science,4,4390,No,No,3,5,Neutral
72,Jeffrey Wolfe,31,Male,Netherlands,Griffith LLC University,Master,Physics,3,26548,Yes,Yes,1,1,Satisfied
73,John Smith,33,Female,Australia,Berry-Burns University,PhD,Physics,2,41188,Yes,Yes,3,3,Dissatisfied
74,Nicole Gilbert,31,Male,Turkey,Ramos-Santos University,Master,Arts,2,33420,Yes,No,3,3,Very Satisfied
75,Alyssa Garcia,20,Male,Netherlands,"Thompson, Smith and Casey University",PhD,Business,4,7206,Yes,No,1,3,Very Dissatisfied
76,Bryan Hughes,35,Other,Pakistan,"Shah, Shepherd and Smith University",Master,Computer Science,5,19815,Yes,Yes,1,3,Satisfied
77,Nicholas Francis,33,Male,France,Hart-Moore University,Master,Physics,1,43985,Yes,Yes,1,3,Very Dissatisfied
78,Brandon Moore,25,Male,UAE,Hernandez Group University,Master,Physics,4,28304,No,Yes,5,4,Dissatisfied
79,Allison Garrison MD,31,Female,Canada,Dawson PLC University,Master,Data Science,1,38249,Yes,Yes,2,3,Neutral
80,Ryan Fisher,23,Male,Germany,Douglas-Bishop University,Master,Arts,3,3543,No,No,4,4,Very Dissatisfied
81,Todd Carlson,32,Female,Australia,"Chan, Thompson and Roberts University",Bachelor,Business,3,29125,No,Yes,1,2,Very Satisfied
82,Lori Porter,34,Female,Netherlands,"Patterson, Wilson and Hansen University",PhD,Physics,1,4831,Yes,Yes,4,1,Neutral
83,Michael Noble,31,Other,UK,Gross Inc University,PhD,Medicine,3,6188,No,No,5,4,Very Satisfied
84,Andrew Edwards,30,Other,Turkey,"Cummings, Meadows and Brown University",Bachelor,Business,1,21806,No,No,2,1,Very Dissatisfied
85,Daniel Young,32,Male,UAE,Cooper-Gross University,Master,Physics,2,25488,Yes,Yes,4,3,Dissatisfied
86,Christopher Kim,19,Female,Australia,Manning-Martinez University,Master,Data Science,3,40091,No,No,1,3,Neutral
87,Deborah Snyder,18,Other,Canada,"Webster, Boyd and Price University",Bachelor,Data Science,4,42279,Yes,No,1,2,Very Dissatisfied
88,Ashley Hughes,25,Female,Japan,Fuentes-Obrien University,PhD,Physics,1,16011,Yes,Yes,4,4,Satisfied
89,Jesse Henderson,20,Male,Malaysia,"Werner, Lewis and Schroeder University",Master,Law,2,26712,Yes,Yes,5,5,Satisfied
90,Monica Moon,27,Other,China,Dodson LLC University,Master,Computer Science,1,14397,No,No,2,2,Satisfied
91,Nichole Thompson,33,Other,Germany,Williams-Scott University,PhD,Engineering,2,19798,No,No,5,5,Very Dissatisfied
92,Nina Patterson,19,Other,China,Stephens-Cortez University,Bachelor,Data Science,4,3180,Yes,No,5,4,Satisfied
93,Renee Pierce,35,Male,India,Garcia Group University,PhD,Social Sciences,1,2672,No,Yes,1,2,Satisfied
94,Allison Martinez,22,Male,Netherlands,Johnson Inc University,PhD,Medicine,2,16211,No,Yes,5,1,Neutral
95,Sharon Garcia,26,Male,Netherlands,"Taylor, Flores and Smith University",Bachelor,Arts,5,5852,Yes,No,2,5,Very Dissatisfied
96,Lauren Perkins,33,Male,USA,Wright and Sons University,Bachelor,Computer Science,3,37060,Yes,No,2,3,Very Satisfied
97,Joshua Li,20,Other,Netherlands,Johnson-Mckinney University,Master,Physics,3,20751,No,Yes,1,4,Satisfied
98,Tanya Watson,22,Other,Canada,Combs-Fernandez University,Bachelor,Physics,1,24783,No,Yes,4,3,Satisfied
99,Chelsea Foster DDS,21,Male,USA,Perez-Hall University,Master,Medicine,4,41644,Yes,No,3,2,Satisfied
100,Mark Dawson,27,Male,Netherlands,Harmon PLC University,Master,Physics,3,45000,No,Yes,3,3,Dissatisfied
101,Christine Morgan,34,Male,China,Williams LLC University,PhD,Data Science,4,44086,No,No,1,1,Very Dissatisfied
102,Paul Bowen,31,Other,UAE,Mathews-Cabrera University,Bachelor,Arts,2,20356,Yes,No,1,2,Dissatisfied
103,Tammie Barber,28,Other,China,Vaughan Ltd University,Bachelor,Law,2,38107,Yes,No,5,1,Neutral
104,James Thompson,18,Other,France,Mccarthy Group University,PhD,Arts,1,11410,Yes,Yes,4,1,Neutral
105,Cynthia Horn,35,Male,Turkey,Hamilton-Erickson University,PhD,Engineering,5,7627,No,No,3,1,Neutral
106,Amy Black,27,Other,UK,King-Smith University,PhD,Law,5,12743,No,Yes,3,1,Very Dissatisfied
107,Jonathan Cooper,25,Male,USA,Robbins and Sons University,Bachelor,AI,2,40726,Yes,Yes,4,2,Dissatisfied
108,Denise Maxwell,32,Other,France,"Davis, Mason and Foster University",Bachelor,AI,3,22999,No,Yes,3,5,Satisfied
109,Michael Roberts,28,Other,UK,Brewer PLC University,Master,Physics,2,31885,Yes,No,2,1,Very Dissatisfied
110,Joseph Ross,33,Male,Canada,"Little, Bailey and Alvarado University",Bachelor,Arts,2,9805,No,No,3,2,Satisfied
111,Cody Hayden,23,Other,UK,Villarreal and Sons University,Bachelor,Arts,1,31744,Yes,Yes,5,5,Very Satisfied
112,Isabella Kaufman,24,Male,Germany,Riley LLC University,Master,Computer Science,4,12609,Yes,No,1,3,Satisfied
113,Lisa White,32,Other,UK,"Blackwell, Kelly and Porter University",Master,Engineering,1,34364,Yes,Yes,3,4,Neutral
114,Joshua Gardner,21,Female,Germany,Moran Ltd University,PhD,Physics,3,31397,No,No,5,3,Very Satisfied
115,Michelle Mcbride,28,Other,Germany,"Johnson, Wallace and Willis University",Bachelor,Law,4,48561,Yes,Yes,1,4,Dissatisfied
116,Timothy Turner,21,Female,Malaysia,Rodgers-Fox University,Master,AI,3,35030,Yes,Yes,1,5,Very Dissatisfied
117,Jennifer Combs,34,Male,Turkey,"Howard, Velasquez and Harris University",Master,Engineering,1,49051,No,Yes,5,4,Very Dissatisfied
118,Deanna Serrano,21,Female,Canada,Smith PLC University,PhD,Medicine,3,13331,No,Yes,3,5,Satisfied
119,Susan Nichols,17,Male,Malaysia,Jordan-Dougherty University,PhD,Computer Science,2,30631,Yes,Yes,5,4,Very Satisfied
120,Phillip Hall,19,Male,Malaysia,"Ramos, Gonzalez and Brown University",Bachelor,AI,2,35379,Yes,Yes,3,5,Neutral
121,Cheryl Estrada,25,Female,Pakistan,Gomez Group University,Master,Law,2,41458,No,No,1,1,Very Dissatisfied
122,Michael White,21,Male,China,"Reilly, Fitzgerald and Montoya University",PhD,AI,1,12381,No,No,3,2,Neutral
123,Paula Tran,18,Other,Japan,Oneill-Jones University,Bachelor,Law,2,14675,Yes,Yes,3,5,Very Dissatisfied
124,Colleen Smith,17,Other,Pakistan,Thomas-Combs University,Master,Arts,3,28245,No,No,4,2,Very Dissatisfied
125,Matthew Williams,25,Other,Malaysia,Phillips-Simmons University,Bachelor,Business,2,49965,No,No,3,1,Neutral
126,Frank Brown,18,Other,USA,Harris and Sons University,Master,Computer Science,4,2763,Yes,Yes,4,3,Satisfied
127,Rose Thomas,23,Male,Australia,Miller PLC University,Master,Social Sciences,2,5481,Yes,Yes,1,1,Very Satisfied
128,Christy Brown,22,Male,Pakistan,"Meyer, Williams and Smith University",Bachelor,Law,2,30180,Yes,No,5,2,Very Dissatisfied
129,Natasha Ramos,27,Female,Germany,Garcia-Anderson University,Master,AI,4,28177,No,No,5,1,Satisfied
130,Lisa Humphrey,32,Other,USA,Davis-Lewis University,Bachelor,Engineering,1,13006,No,No,4,2,Very Dissatisfied
131,Kristen Sanchez,35,Male,India,"Payne, Brown and Gomez University",Bachelor,Physics,4,32538,Yes,Yes,4,1,Very Dissatisfied
132,Debbie Ward,31,Female,Netherlands,Carter and Sons University,Master,Data Science,2,8537,No,No,5,3,Very Dissatisfied
133,Joseph Rodriguez,25,Other,Germany,Nixon-Vega University,PhD,Data Science,4,7454,No,Yes,4,3,Very Satisfied
134,Donna Haynes,34,Other,Australia,Roberts-Miller University,Bachelor,Social Sciences,2,9844,Yes,Yes,1,1,Satisfied
135,Tracy Lawrence,22,Male,India,Moore-Clayton University,Bachelor,Social Sciences,5,26511,No,No,5,5,Dissatisfied
136,Adam Garza,23,Male,USA,Mcgrath-Carr University,Bachelor,Physics,3,39698,No,No,5,4,Neutral
137,Cynthia Davidson,27,Female,UK,"Rodriguez, Saunders and Mejia University",Bachelor,Law,5,44454,No,No,3,1,Very Satisfied
138,Terry Holt,30,Other,India,"Garcia, Mcneil and Smith University",PhD,Arts,3,2351,No,Yes,2,3,Dissatisfied
139,Richard Allen,34,Other,Pakistan,Holt-Yu University,Bachelor,Physics,4,16313,No,Yes,1,1,Neutral
140,Tina Mcneil,17,Female,Netherlands,Wilson Inc University,Master,Medicine,1,32666,No,No,4,4,Neutral
141,James Alexander,24,Other,Canada,"Stephens, Neal and Luna University",Master,AI,5,34423,No,No,3,5,Satisfied
142,William Mccarty,20,Other,USA,Garcia-Peters University,Master,AI,4,22393,Yes,Yes,1,4,Very Dissatisfied
143,Nancy Brennan,34,Female,India,"Murphy, Wilson and Garcia University",Master,Computer Science,3,12305,No,No,1,3,Very Dissatisfied
144,Melissa Lambert,24,Female,China,Johnson Inc University,Bachelor,Social Sciences,4,42271,No,Yes,3,3,Satisfied
145,Kevin Anderson,23,Male,India,Allen Ltd University,Bachelor,Arts,4,3791,No,Yes,2,5,Very Satisfied
146,Barbara Martin,25,Male,China,Price Group University,Master,Arts,2,24102,No,Yes,3,4,Very Dissatisfied
147,Scott Gordon,33,Other,China,"Jones, Hampton and Solomon University",PhD,AI,4,43041,Yes,No,5,2,Satisfied
148,Daniel Larson,33,Male,Malaysia,Walker-Smith University,PhD,Computer Science,5,12480,Yes,Yes,4,1,Neutral
149,Alexander Lopez,23,Other,China,Alvarez-Hunt University,Bachelor,Social Sciences,2,49975,No,Yes,1,1,Dissatisfied
150,Laurie Howard,27,Male,India,Newman-Brown University,Master,Computer Science,5,11375,No,Yes,4,4,Satisfied
151,Carlos Haney,26,Male,Australia,Mahoney-Johnson University,Master,Arts,3,11717,No,Yes,3,4,Dissatisfied
152,Javier Gray,30,Male,Canada,Lewis-Brown University,Master,Computer Science,3,42635,Yes,No,4,2,Dissatisfied
153,Jordan Reed,20,Female,India,Jones-Smith University,PhD,Law,1,19770,No,No,3,3,Dissatisfied
154,David Gallagher,26,Female,USA,Wallace-Winters University,Master,Engineering,3,44673,No,Yes,3,1,Dissatisfied
155,Charles Thomas,33,Other,Pakistan,Wells-Jones University,Master,Physics,5,48850,Yes,Yes,5,3,Satisfied
156,Tracy Wright,27,Male,Pakistan,"Estrada, Thomas and Summers University",Bachelor,Engineering,2,7521,No,No,2,2,Neutral
157,Drew Sanders,17,Other,Canada,"Holmes, Roberts and Hebert University",Master,Physics,2,4137,No,Yes,1,2,Dissatisfied
158,Bryan Sherman,22,Other,China,Chambers Inc University,Bachelor,Business,1,13155,No,No,2,3,Very Satisfied
159,Donna Hall,30,Other,UAE,Hudson LLC University,Master,Engineering,2,44324,Yes,Yes,5,5,Very Dissatisfied
160,Michael Evans,24,Female,Germany,Griffith Group University,Bachelor,Social Sciences,5,46291,Yes,Yes,1,3,Very Satisfied
161,Michelle Hernandez,25,Male,China,"Moore, Macdonald and Hernandez University",Bachelor,Social Sciences,3,13707,No,No,3,2,Satisfied
162,Jonathan Parks,24,Male,Malaysia,Black PLC University,Master,Physics,3,33495,Yes,No,1,3,Very Satisfied
163,Jessica Vargas,33,Male,Canada,Hernandez-Galvan University,PhD,Data Science,4,14472,Yes,Yes,2,4,Very Dissatisfied
164,Susan Kaiser,35,Other,Japan,Woodard PLC University,Master,Business,1,32859,Yes,Yes,5,4,Dissatisfied
165,Jerry Garcia,17,Female,China,"Francis, Bowers and Dougherty University",Master,Data Science,1,44993,Yes,Yes,5,1,Dissatisfied
166,Raymond Griffin,34,Female,UAE,"Harrison, Arnold and Barnett University",Bachelor,Law,2,12617,Yes,No,5,1,Satisfied
167,Carolyn Henry,27,Other,UK,"Cook, Wallace and Anderson University",Bachelor,Computer Science,4,18652,No,No,4,4,Dissatisfied
168,Jennifer Stewart,20,Female,Pakistan,"Garrison, Kelly and Merritt University",Bachelor,Arts,2,3233,Yes,No,3,2,Very Satisfied
169,Edward Griffith,22,Other,Netherlands,"Leon, Zimmerman and Wilson University",Master,AI,3,26395,No,No,4,1,Very Satisfied
170,Jerry Walls,28,Female,India,Fisher and Sons University,Master,Arts,1,42979,Yes,Yes,2,3,Very Dissatisfied
171,Michael Lawrence,35,Other,Netherlands,Marshall Group University,Master,Social Sciences,3,12379,Yes,Yes,2,3,Dissatisfied
172,Anna Wolfe,30,Male,Japan,"Mcpherson, Sherman and Heath University",Bachelor,Arts,3,22236,Yes,No,5,4,Satisfied
173,Bradley Bush,30,Other,Germany,Davis Inc University,PhD,Law,5,42100,No,No,3,1,Neutral
174,Jaclyn Marshall,18,Female,Netherlands,"Rodgers, Osborne and Bowman University",Master,Medicine,1,38918,No,No,1,3,Very Dissatisfied
175,Michelle Webb,24,Male,Australia,Lane PLC University,Master,Social Sciences,1,11232,Yes,No,1,2,Very Dissatisfied
176,Elizabeth Collins,21,Other,Pakistan,"Campbell, Porter and Lewis University",PhD,Business,2,3072,No,Yes,5,5,Satisfied
177,William Anderson,21,Other,Australia,Alexander and Sons University,Master,Business,4,18489,No,No,2,5,Very Satisfied
178,Lee Scott,21,Other,Malaysia,"Stone, Gomez and Nelson University",Master,Medicine,3,4598,Yes,Yes,1,1,Neutral
179,Melissa Henderson,27,Other,Japan,Martinez Inc University,PhD,Business,3,42523,Yes,No,1,3,Neutral
180,Christopher Palmer,17,Male,Netherlands,Watson-Campbell University,Master,Arts,2,5380,No,No,1,1,Dissatisfied
181,John Hernandez,23,Female,Netherlands,Caldwell and Sons University,Master,AI,4,39345,Yes,No,2,1,Very Dissatisfied
182,Mary Baker,24,Other,UK,"Bryan, Case and Williams University",PhD,Computer Science,4,28736,Yes,Yes,4,4,Dissatisfied
183,John Donovan,32,Other,Australia,Smith-King University,PhD,Law,3,11828,Yes,Yes,5,1,Dissatisfied
184,Edward Simon,17,Female,UAE,Peters-Campbell University,PhD,Medicine,2,20782,No,No,1,3,Very Dissatisfied
185,Cassidy Russell,27,Female,Netherlands,Carter-Walsh University,Bachelor,Physics,3,2008,No,No,1,3,Very Satisfied
186,Lori Frye,22,Female,Malaysia,Robinson-Carpenter University,Master,Social Sciences,2,12611,No,No,1,2,Very Satisfied
187,Katherine Vang,26,Female,Germany,Fuentes-Sandoval University,Bachelor,Computer Science,1,16955,No,Yes,5,3,Satisfied
188,Joseph Duncan MD,17,Other,Canada,Gutierrez LLC University,Bachelor,Law,1,6316,No,No,3,3,Dissatisfied
189,James Gallagher,34,Female,Canada,"Cook, Walton and Butler University",Master,Computer Science,5,35277,No,Yes,2,5,Dissatisfied
190,Brad Vargas,31,Other,UK,Bentley Group University,PhD,Physics,2,12767,No,No,1,1,Neutral
191,Robert Robinson,20,Male,France,"Bell, Jackson and Morse University",PhD,Physics,4,21686,Yes,No,2,3,Very Dissatisfied
192,Nathan Johns,21,Female,Canada,Smith PLC University,Bachelor,Physics,3,15855,No,No,5,5,Very Satisfied
193,Ms. Katherine Wyatt,33,Female,Pakistan,Duran-Dixon University,PhD,Physics,1,20331,No,Yes,3,5,Dissatisfied
194,Steven Delacruz,34,Female,Germany,"Brewer, Rodriguez and Young University",Master,Business,3,29628,No,No,5,3,Neutral
195,Tracey King,22,Other,Turkey,Richardson Inc University,Master,Medicine,1,3702,No,Yes,1,4,Very Satisfied
196,Carlos Martinez,30,Male,UK,Tucker Inc University,Master,Arts,5,26969,No,Yes,1,5,Neutral
197,Matthew Smith,31,Female,Pakistan,"Blackwell, Chang and Lee University",PhD,Physics,1,27831,No,No,3,5,Neutral
198,Kevin Short,25,Male,China,"Smith, Lewis and Shields University",Master,Social Sciences,2,6722,Yes,No,2,5,Dissatisfied
199,Felicia George,34,Other,France,Murray-Woodard University,Bachelor,Computer Science,4,35269,Yes,Yes,3,5,Neutral
200,Richard Noble,20,Male,USA,"Silva, Mills and Steele University",Bachelor,Engineering,2,42262,No,No,2,1,Very Satisfied
201,Kara Robinson,23,Other,UK,Mercado and Sons University,PhD,Physics,5,22364,No,Yes,4,3,Very Satisfied
202,Michele Wade,25,Male,India,"Carroll, Smith and Rodriguez University",Bachelor,Business,5,8072,Yes,Yes,2,2,Neutral
203,Ryan Hopkins,35,Female,Turkey,"Abbott, Austin and Humphrey University",Master,Computer Science,4,5979,Yes,Yes,1,1,Satisfied
204,Bobby Gomez,19,Male,Malaysia,"Moody, Bean and Hansen University",Bachelor,Computer Science,3,12564,No,Yes,4,4,Very Satisfied
205,Jason Brewer,31,Male,USA,"Burton, Lopez and Woods University",Bachelor,Law,4,19294,No,No,2,5,Dissatisfied
206,Brett Melton,30,Male,UAE,Moore-Jones University,Bachelor,Social Sciences,1,45692,Yes,No,3,1,Neutral
207,Laura Wilkinson,20,Male,Canada,"Ochoa, Schmidt and Andrews University",Bachelor,Data Science,5,43299,Yes,Yes,5,5,Dissatisfied
208,Laura Johnson,25,Female,India,White Ltd University,Master,Data Science,5,13306,Yes,Yes,4,2,Dissatisfied
209,Amanda Pham,24,Other,Germany,Bean-Lynch University,PhD,Law,3,31351,No,Yes,2,2,Dissatisfied
210,Thomas Greer,24,Other,Australia,Stout Group University,Bachelor,Computer Science,4,4569,No,No,3,3,Very Dissatisfied
211,Phillip Brown,18,Male,Australia,Harris-Cantrell University,PhD,Social Sciences,5,31635,Yes,Yes,3,3,Neutral
212,Daniel Robbins,29,Other,France,"Anderson, Vang and Glass University",PhD,Physics,5,34011,No,No,3,2,Neutral
213,Isaac Moss,26,Male,China,Jacobs-Sanchez University,PhD,Arts,3,43009,Yes,No,4,3,Very Dissatisfied
214,Amber Goodwin,17,Male,Japan,Mullins Ltd University,Master,Engineering,1,24947,Yes,Yes,2,2,Very Satisfied
215,Paula Higgins,18,Female,France,"Jenkins, Sanchez and Taylor University",PhD,Computer Science,1,11165,No,Yes,1,4,Very Dissatisfied
216,Robert Lewis,22,Other,Malaysia,"Perez, Jensen and Baker University",PhD,Business,3,47305,No,Yes,1,5,Satisfied
217,Gregory Greene,29,Female,India,Adkins PLC University,Bachelor,Computer Science,4,31378,No,No,1,4,Dissatisfied
218,Carrie Barber,25,Male,Australia,Powell-Robles University,Master,Physics,4,12377,No,Yes,5,4,Neutral
219,Katherine Hendrix,22,Male,Australia,Nguyen-Levy University,Master,Computer Science,2,47989,Yes,Yes,3,1,Very Satisfied
220,Timothy Herring,24,Male,Germany,Mueller Inc University,PhD,Social Sciences,3,48383,Yes,No,4,2,Very Dissatisfied
221,Karen Case PhD,27,Male,Germany,Thompson-Allen University,PhD,Law,5,5731,No,No,4,3,Dissatisfied
222,Jennifer Holmes,29,Male,Netherlands,Olson and Sons University,PhD,Law,3,48195,Yes,No,2,4,Satisfied
